AREANAME;AREA;TITULACIÓN;NOMBRE
SOCIOHUMANISTICA;socio-humanistica;psicologia;Psicología
SOCIOHUMANISTICA;socio-humanistica;psicologia-clinica;PSICOLOGÍA CLÍNICA
SOCIOHUMANISTICA;socio-humanistica;ingles;Inglés
TECNICA;tecnica;computacion;Computación
TECNICA;tecnica;sistemas-informaticos-computacion;SISTEMAS INFORMÁTICOS y COMPUTACIÓN
SOCIOHUMANISTICA;socio-humanistica;derecho;DERECHO
BIOLOGICA Y BIOMEDICA;biologica-biomedica;gestion-ambiental;Gestión Ambiental
BIOLOGICA Y BIOMEDICA;biologica-biomedica;ingenieria-ambiental;Ingeniería Ambiental
BIOLOGICA Y BIOMEDICA;biologica-biomedica;medicina;MEDICINA
BIOLOGICA Y BIOMEDICA;biologica-biomedica;biologia;BIOLOGÍA
TECNICA;tecnica;arquitectura;ARQUITECTURA
ADMINISTRATIVA;administrativa;finanzas;FINANZAS
ADMINISTRATIVA;administrativa;banca-finanzas;Banca y Finanzas
ADMINISTRATIVA;administrativa;economia;Economía
BIOLOGICA Y BIOMEDICA;biologica-biomedica;enfermeria;Enfermería
BIOLOGICA Y BIOMEDICA;biologica-biomedica;bioquimica-farmacia;Bioquímica y Farmacia
BIOLOGICA Y BIOMEDICA;biologica-biomedica;ingenieria-quimica;Ingeniería Química
BIOLOGICA Y BIOMEDICA;biologica-biomedica;ingenieria-industrial;Ingeniería Industrial
BIOLOGICA Y BIOMEDICA;biologica-biomedica;agropecuaria;Agropecuaria
BIOLOGICA Y BIOMEDICA;biologica-biomedica;alimentos;ALIMENTOS
TECNICA;tecnica;telecomunicaciones;Telecomunicaciones
TECNICA;tecnica;geologia;Geología
TECNICA;tecnica;artes-visuales;Artes Visuales
TECNICA;tecnica;ingenieria-civil;Ingeniería Civil
ADMINISTRATIVA;administrativa;contabilidad-auditoria;Contabilidad y Auditoría
ADMINISTRATIVA;administrativa;gastronomia;Gastronomía
ADMINISTRATIVA;administrativa;turismo;Turismo
ADMINISTRATIVA;administrativa;hoteleria-turismo;Hotelería y Turismo
ADMINISTRATIVA;administrativa;administracion-empresas;ADMINISTRACIÓN DE EMPRESAS
SOCIOHUMANISTICA;socio-humanistica;comunicacion-social;Comunicación Social
SOCIOHUMANISTICA;socio-humanistica;psicopedagogia;PSICOPEDAGOGIA
SOCIOHUMANISTICA;socio-humanistica;comunicacion;COMUNICACIÓN
